08923: Maritime transport statistics. Cargo and number of units, by commodity, flag, loaded/unloaded, domestic/foreign, quarter, contents and port;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
commodity;flag;loaded/unloaded;domestic/foreign;quarter;contents;Fredrikstad (Borg);Moss;Oslo;Drammen;Tønsberg;Sandefjord;Larvik;Porsgrunn (Grenland);Kristiansand;Farsund;Kvinesdal;Egersund;Stavanger;Sauda;Haugesund (Karmsund);Bergen and Omland;Florø;Svelgen (Bremanger);Måløy (Nordfjord);Ålesund;Molde;Kristiansund;Trondheim;Verdal;Brønnøysund (Brønnøy);Helgeland havn;Mo i Rana;Bodø;Narvik;Harstad;Tromsø;Hammerfest;Sveagruva;Kirkenes;Norway - Unspecified, quarterly survey
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2013K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3009;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2013K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2300;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2013K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;604;0;0;0;0;0;0;4859;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2014K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1017;0;0;0;0;0;0;1347;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2014K2;Cargo (tonnes);0;0;3045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1305;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2014K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;2996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2014K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;2230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2015K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2015K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2015K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2015K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;1483;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2016K1;Cargo (tonnes);0;0;0;0;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2016K2;Cargo (tonnes);0;0;0;0;0;0;0;0;252;0;0;0;0;0;0;0;0;0;0;0;0;0;997;0;0;0;0;0;0;0;0;0;0;0;0
